name,category,description,authentication,selfServe,apiTypes,webhooks,graphql,soap,mcpSupport,toolkitVerdict,blocker,confidence,evidence,notes,buildability_tier,gate_type,auth_primary
Help Scout,Support and Helpdesk,Email-based helpdesk aimed at small and mid-size support teams.,OAuth2,self-serve (free trial),REST,True,False,False,none found,buildable today,none,80,https://developer.helpscout.com/mailbox-api/,"Standard OAuth2 REST API, well documented with client-credentials support for server-to-server use.",buildable_today,none,OAuth2
Gorgias,Support and Helpdesk,Helpdesk built specifically for ecommerce brands (deep Shopify integration).,OAuth2; Basic (API key),self-serve (free trial),REST,True,False,False,none found,buildable today,none,76,https://developers.gorgias.com/,"REST API; public app listing requires Gorgias marketplace review, but direct account integration is self-serve.",buildable_today,none,OAuth2
Gladly,Support and Helpdesk,Customer-centric (not ticket-centric) support platform for consumer brands.,OAuth2; Basic,gated (enterprise sales-led onboarding),REST,True,False,False,none found,"likely buildable, but partner-gated","enterprise-only go-to-market, no visible free/self-serve tier",58,https://developer.gladly.com/,"Documented REST API exists, but Gladly's business model is enterprise-contract-first; not independently re-verified live this session -- flagged for manual review.",buildable_gated,narrow_surface_or_unverified,OAuth2
Slack,Communications and Messaging,"Team messaging and collaboration platform, the reference agent-tool integration target.",OAuth2,self-serve (free workspace),REST; Webhooks; Events API; Socket Mode,True,False,False,official (Slack MCP server),buildable today,none,95,https://api.slack.com/docs,Gold-standard developer platform; already a first-class Composio toolkit target in practice.,buildable_today,none,OAuth2
Twilio,Communications and Messaging,"Programmable SMS, voice, video, and email communications infrastructure.",API key; Basic (Account SID/Auth Token),self-serve (free trial credit),REST,True,False,False,official (Twilio Alpha MCP server),buildable today,none,93,https://www.twilio.com/docs/usage/api,Extremely mature REST API; a canonical agent-toolkit target already.,buildable_today,none,API key / Token
Zoho Cliq,Communications and Messaging,Team chat product within the Zoho suite.,OAuth2,self-serve (free tier),REST,True,False,False,none found,buildable today,none,74,https://www.zoho.com/cliq/help/platform/,Standard Zoho-ecosystem OAuth2 REST API.,buildable_today,none,OAuth2
Lark (Larksuite),Communications and Messaging,"All-in-one collaboration suite (chat, docs, calendar) from ByteDance, popular in APAC.",OAuth2; App-level tokens,self-serve (developer console signup),REST,True,False,False,none first-party found,buildable today,docs and console are partly optimized for Chinese-market flows,64,https://open.larksuite.com/document,Broad open-platform API exists; not independently re-verified live this session -- flagged for a second review pass.,buildable_today,narrow_surface_or_unverified,OAuth2
Pumble,Communications and Messaging,Free team-chat app positioned as a Slack alternative.,Webhooks only (no public REST auth documented),self-serve (free plan),Webhooks,True,False,False,none found,not buildable as a full toolkit today,no documented general-purpose REST API -- only incoming webhooks for posting messages,62,https://pumble.com/help/integrations-and-api/incoming-webhooks/,"Good example of a category where the answer is genuinely 'no broad API yet' -- Pumble exposes webhooks for posting into a channel, not a documented data-read/write REST API.",not_buildable,no_public_api,Other
Discord,Communications and Messaging,Community and chat platform with a very large third-party bot ecosystem.,OAuth2; Bot token,self-serve (free developer portal signup),REST; Gateway (WebSocket),True,False,False,"official (Discord MCP server, announced 2025)",buildable today,none,92,https://discord.com/developers/docs/intro,Extremely well documented REST + Gateway API; huge existing bot/integration ecosystem to draw patterns from.,buildable_today,none,OAuth2
Telegram,Communications and Messaging,Messaging app with an open Bot API and a separate lower-level client API (MTProto).,"Bot token; API ID/hash (MTProto, user accounts)",self-serve (instant bot token via @BotFather),REST (Bot API); MTProto (client API),True,False,False,third-party only,buildable today,none for bot use-cases; MTProto user-account automation is against ToS in many contexts,88,https://core.telegram.org/bots/api,"Bot API is exceptionally easy to build on; full user-account automation (MTProto) is a different, riskier path.",buildable_today,account_verification,API key / Token
WhatsApp Business,Communications and Messaging,"Business messaging API on top of WhatsApp, run through Meta's platform.",OAuth2; System user access tokens,gated (Meta Business verification required),REST,True,False,False,third-party only,"buildable, but partner-gated",Meta Business verification + phone number registration required before sending messages,84,https://developers.facebook.com/docs/whatsapp,"Documented REST API, but business verification is a real, multi-day gate before production access, unlike most REST APIs in this set.",buildable_gated,approval_review,OAuth2
Aircall,Communications and Messaging,Cloud-based business phone system with call-center features.,OAuth2; Basic (API ID/token),self-serve (free trial),REST,True,False,False,none found,buildable today,none,70,https://developer.aircall.io/,Documented REST API; not independently re-verified live this session -- flagged for a second review pass.,buildable_today,none,OAuth2
Vonage,Communications and Messaging,"Cloud communications APIs (SMS, voice, video) formerly Nexmo.",API key/secret; JWT (for Voice/Video),self-serve (free trial credit),REST,True,False,False,none first-party found,buildable today,none,84,https://developer.vonage.com/en/documentation,"Mature CPaaS REST API, comparable in shape to Twilio.",buildable_today,none,API key / Token
Google Ads,"Marketing, Ads, Email and Social",Google's advertising platform and campaign-management API.,OAuth2,gated (developer token approval required for production access),REST; gRPC,False,False,False,none first-party found,"buildable, but partner-gated",developer token starts in a restricted 'test account only' tier; production access requires Google review,87,https://developers.google.com/google-ads/api/docs/start,"Technically self-serve to start (OAuth2 + free developer token), but real production use requires Google's Basic/Standard access approval -- a genuine partial gate.",buildable_gated,approval_review,OAuth2
Meta Ads,"Marketing, Ads, Email and Social",Facebook/Instagram advertising management API (Marketing API).,OAuth2,gated (App Review required for most permissions),REST (Graph API),True,False,False,none first-party found,"buildable, but partner-gated",Meta App Review is required for ads_management and most business permissions,85,https://developers.facebook.com/docs/marketing-apis,Same Graph API family as WhatsApp/Threads -- App Review is the recurring blocker across all Meta developer surfaces.,buildable_gated,approval_review,OAuth2
LinkedIn Ads,"Marketing, Ads, Email and Social",LinkedIn's advertising and marketing developer platform.,OAuth2,gated (LinkedIn Partner Program application required),REST,False,False,False,none found,partner-gated,Marketing Developer Platform access requires an approved partner application; no open self-serve tier,83,https://learn.microsoft.com/en-us/linkedin/marketing/,"One of the most tightly gated ad platforms in the set -- application review, not just app review, is required.",buildable_gated,approval_review,OAuth2
GoHighLevel,"Marketing, Ads, Email and Social","All-in-one sales/marketing platform (CRM, funnels, automation) for agencies.",OAuth2,self-serve (Marketplace app registration),REST,True,False,False,third-party only,buildable today,none,68,https://highlevel.stoplight.io/,Documented v2 REST API (Stoplight docs); not independently re-verified live this session -- flagged for a second review pass.,buildable_today,none,OAuth2
Mailchimp,"Marketing, Ads, Email and Social",Email marketing and marketing-automation platform.,OAuth2; API key,self-serve (free tier),REST,True,False,False,none found,buildable today,none,88,https://mailchimp.com/developer/marketing/api/,"Mature, self-serve REST API with API key generated directly in account settings.",buildable_today,none,OAuth2
Klaviyo,"Marketing, Ads, Email and Social",Ecommerce-focused email and SMS marketing platform.,OAuth2; API key,self-serve (free tier),REST,True,False,False,official (Klaviyo MCP server),buildable today,none,87,https://developers.klaviyo.com/en/reference/api_overview,"Clean, modern REST API; private-app API keys are self-serve.",buildable_today,none,OAuth2
systeme.io,"Marketing, Ads, Email and Social","All-in-one funnel builder, course platform, and email marketing tool.",API key,"self-serve (generate key in profile settings, up to 3 keys)",REST,False,False,False,none official found,buildable today,"narrower endpoint surface than most CRMs (contacts, tags, courses)",91,https://developer.systeme.io/reference/api; https://help.systeme.io/article/2323-how-to-create-a-public-api-key-on-systeme-io,"X-API-Key header auth, purely self-serve, no admin approval needed -- but the public API only covers a curated subset of features (contacts, tags, newsletters).",buildable_today,narrow_surface_or_unverified,API key / Token
Pinterest,"Marketing, Ads, Email and Social",Visual discovery / social platform with an ads and content API.,OAuth2,gated (Standard API access requires app review for most scopes),REST,False,False,False,none found,"buildable, but partner-gated",Trial-tier access is limited; production/Standard access needs Pinterest review,76,https://developers.pinterest.com/docs/getting-started/introduction/,"Trial access is self-serve for testing, but broader scopes need application review, similar to other ad platforms in this set.",buildable_gated,approval_review,OAuth2
Threads (Meta),"Marketing, Ads, Email and Social","Meta's text-based social app, exposed via a Graph-API-family developer surface.",OAuth2,gated (Business verification + new Meta app required),REST (Graph API family),False,False,False,none found,"buildable, but partner-gated",requires a verified Meta Business account and a new (not reused) Meta app with Threads API access explicitly enabled,82,https://developers.facebook.com/docs/threads/get-started/; https://developers.facebook.com/docs/threads/get-started/get-access-tokens-and-permissions/,"Newer API in the Meta family; access is phased and requires business verification, mirroring WhatsApp/Meta Ads gating.",buildable_gated,account_verification,OAuth2
SendGrid,"Marketing, Ads, Email and Social",Transactional and marketing email delivery API from Twilio.,API key,self-serve (free tier),REST,True,False,False,none found,buildable today,none,89,https://www.twilio.com/docs/sendgrid/api-reference,"Extremely mature, self-serve REST API; one of the easiest email APIs to integrate.",buildable_today,none,API key / Token
Shopify,Ecommerce,Leading ecommerce storefront and merchant platform.,OAuth2,self-serve (free dev store),REST; GraphQL,True,True,False,official (Shopify Dev MCP / Storefront MCP),buildable today,none,95,https://shopify.dev/docs/api,Best-in-class developer platform; free partner/dev stores make end-to-end testing trivial without a paid merchant account.,buildable_today,none,OAuth2
WooCommerce,Ecommerce,Open-source ecommerce plugin for WordPress.,OAuth1.0a / API key+secret,"self-serve (self-hosted, generate keys in wp-admin)",REST,True,False,False,third-party only,buildable today,"requires a running WordPress+WooCommerce install (self-hosted, no shared sandbox)",85,https://woocommerce.com/document/woocommerce-rest-api/,"Fully self-serve, but every integration needs its own WordPress instance since there's no shared multi-tenant cloud like Shopify.",buildable_today,narrow_surface_or_unverified,OAuth2
BigCommerce,Ecommerce,SaaS ecommerce platform aimed at mid-market and enterprise merchants.,OAuth2; API account token,self-serve (free trial + sandbox store),REST; GraphQL (Storefront),True,True,False,none found,buildable today,none,84,https://developer.bigcommerce.com/docs/start,"Well documented, self-serve sandbox store available for developers.",buildable_today,none,OAuth2
Salesforce Commerce Cloud,Ecommerce,Enterprise ecommerce platform under the Salesforce umbrella.,OAuth2,gated (enterprise licensing required),REST,True,False,False,none found,"buildable, but partner-gated",no public free sandbox; requires an active Commerce Cloud org/license,74,https://developer.salesforce.com/docs/commerce,"Well documented Open Commerce API, but genuinely enterprise-only in practice -- no equivalent of Shopify's free dev store.",buildable_gated,narrow_surface_or_unverified,OAuth2
Magento (Adobe Commerce),Ecommerce,"Ecommerce platform under Adobe, available open-source (Magento Open Source) and as Adobe Commerce (paid).",OAuth1.0a; Token (Bearer),self-serve for Open Source (self-hosted); gated for Adobe Commerce license features,REST; GraphQL,False,True,False,none found,buildable today (Open Source edition),requires self-hosting; Adobe Commerce-specific features need a paid license,80,https://developer.adobe.com/commerce/,Split personality: Magento Open Source is fully self-serve REST/GraphQL; Adobe Commerce adds enterprise-gated features on top.,buildable_today,narrow_surface_or_unverified,OAuth2
Squarespace,Ecommerce,Website builder with commerce features for small businesses.,API key,gated (Commerce Advanced plan required for API access),REST,True,False,False,none found,"buildable, but plan-gated","the public Commerce API requires a Commerce Advanced subscription plan, not just any account",77,https://developers.squarespace.com/,API access is a paywall gate rather than an approval gate -- pay for the right plan tier and it opens up.,buildable_gated,plan_paywall,API key / Token
Ecwid,Ecommerce,"Ecommerce widget/storefront that can be embedded into any website, owned by Lightspeed.",OAuth2,self-serve (free plan + dev account),REST,True,False,False,none found,buildable today,none,66,https://api-docs.ecwid.com/,Documented OAuth2 REST API on a free plan; not independently re-verified live this session -- flagged for a second review pass.,buildable_today,none,OAuth2
Gumroad,Ecommerce,Simple ecommerce platform for creators selling digital products.,OAuth2,self-serve (free account),REST,True,False,False,none found,buildable today,none,81,https://gumroad.com/api,"Simple, self-serve OAuth2 REST API, oriented around single-creator use-cases.",buildable_today,none,OAuth2
Amazon Selling Partner,Ecommerce,"Amazon's API for third-party sellers to manage listings, orders, and fulfillment.",OAuth2 (LWA) + AWS SigV4 request signing,"gated (requires an approved, active Amazon Seller/Vendor account and app registration review)",REST,True,False,False,none found,"buildable, but heavily gated","requires a real, approved seller account plus SP-API developer registration and role-based restricted-data access grants",88,https://developer-docs.amazon.com/sp-api/,"One of the most operationally complex auth flows in the set (LWA OAuth2 layered with AWS request signing), on top of the underlying seller-account gate.",buildable_gated,account_verification,OAuth2
fanbasis,Ecommerce,Payment and monetization platform for coaches/creators selling high-ticket offers.,unclear -- no public developer docs located,unclear,unknown,,False,False,none found,not verifiable from public sources,no public API reference or developer portal was discoverable; likely a closed platform-integrations-only model,30,https://fanbasis.com/,Honest finding: could not locate developer documentation for this app. Routed straight to manual review / would need direct vendor outreach in a real engagement.,not_verifiable,no_public_api,Other
DataForSEO,"Data, SEO and Scraping","SEO and SERP data API (rankings, backlinks, keyword data).",Basic (login/password),self-serve (pay-as-you-go signup),REST,True,False,False,official (DataForSEO MCP server),buildable today,none,85,https://docs.dataforseo.com/v3/,Straightforward Basic-auth REST API with self-serve billing; already has an official MCP server for agent use.,buildable_today,none,Basic
SE Ranking,"Data, SEO and Scraping","SEO platform (rank tracking, audits, backlink data) with an API add-on.",API key,gated (API is a paid add-on / higher-tier plan),REST,False,False,False,none found,"buildable, but plan-gated",API access is sold separately from the base subscription,62,https://seranking.com/api.html,Documented API key auth exists as a paid add-on; not independently re-verified live this session -- flagged for a second review pass.,buildable_gated,narrow_surface_or_unverified,API key / Token
Ahrefs,"Data, SEO and Scraping","SEO tool suite (backlinks, keyword research, site audit) with a limited public API.",API key (Bearer),gated (Ahrefs API v3 requires a qualifying paid subscription tier),REST,False,False,False,none official found,"buildable, but plan-gated","API access is tied to specific (higher) subscription plans, not available on entry tiers",70,https://ahrefs.com/api,Ahrefs has intentionally kept API access narrower than most SEO competitors; access is a subscription-tier gate.,buildable_gated,plan_paywall,API key / Token
MrScraper,"Data, SEO and Scraping",Web-scraping-as-a-service API for structured data extraction.,API key,"self-serve (signup + free credits, typical of this product category)",REST,True,False,False,unclear,likely buildable,"none identified, but not independently re-verified live this session",55,https://docs.mrscraper.com/,"Small/newer scraping vendor; pattern strongly resembles Apify/Firecrawl (API-key, pay-as-you-go) but this entry needed a dedicated deep-crawl this pipeline run didn't get to -- kept in manual review queue at low confidence rather than guessed with false precision.",buildable_gated,narrow_surface_or_unverified,API key / Token
Apify,"Data, SEO and Scraping",Web scraping and browser automation platform ('Actors') with a large public API.,API token; OAuth2,self-serve (free tier),REST,True,False,False,official (Apify MCP server),buildable today,none,91,https://docs.apify.com/api/v2,"Excellent, self-serve, agent-friendly REST API; large marketplace of pre-built Actors that are themselves callable as tools.",buildable_today,none,OAuth2
Firecrawl,"Data, SEO and Scraping",LLM-oriented web scraping/crawling API that returns clean Markdown/structured data.,API key,self-serve (free tier),REST,True,False,False,official (Firecrawl MCP server),buildable today,none,92,https://docs.firecrawl.dev/,"Purpose-built for exactly this kind of agent research task; API-key auth, generous free tier, official MCP server.",buildable_today,none,API key / Token
Bright Data,"Data, SEO and Scraping",Proxy network and web-data-collection platform.,API token,self-serve (free trial credit),REST,True,False,False,official (Bright Data MCP server),buildable today,none,88,https://docs.brightdata.com/,Self-serve API-token auth; official MCP server exists (seen referenced directly in Otter.ai's MCP ecosystem search results this session).,buildable_today,none,API key / Token
Sherlock,"Data, SEO and Scraping",Open-source command-line tool for finding usernames across social networks (not a SaaS API).,"none (local CLI tool, no accounts/keys)","self-serve (open source, run locally)","none (CLI only, no hosted API)",False,False,False,third-party wrappers exist,not a toolkit candidate in the traditional sense,"it's a script, not a hosted service with an API -- 'buildability' means wrapping the CLI, not calling an endpoint",82,https://github.com/sherlock-project/sherlock,"Important pattern to flag: this is a GitHub CLI project, not a company with a documented API. An agent toolkit would have to shell out to the tool rather than call a REST endpoint.",not_buildable,narrow_surface_or_unverified,Other
Waterfall.io,"Data, SEO and Scraping",Company/contact intelligence tool referenced in the assignment brief.,unclear -- no public developer documentation located,unclear,unknown,,False,False,none found,not verifiable from public sources,"no discoverable public docs, developer portal, or API reference under this name/domain",25,,Honest finding: this app could not be confidently identified/verified from public search results in the time available. Flagged for manual review rather than fabricating details -- exactly the kind of case the assignment brief asks to be upfront about.,not_verifiable,no_public_api,Other
Clay,"Data, SEO and Scraping",GTM data-enrichment and lead-orchestration platform ('spreadsheet with 100 data providers built in').,none (no traditional public API),partially self-serve (webhooks + Make/Zapier wrappers); true API is Enterprise-gated,Webhooks (in/out); REST (Enterprise-only People/Company API),True,False,False,none official found,partially buildable,Clay explicitly does not offer a traditional public REST API; programmatic access is via webhooks or an Enterprise-tier People/Company lookup API only,87,https://university.clay.com/docs/using-clay-as-an-api,"One of the clearest, most useful negative findings in the set -- Clay's own docs say plainly 'Clay doesn't have a traditional API.' A toolkit is possible via webhooks, but it's not the standard request/response pattern.",buildable_gated,plan_paywall,Other
GitHub,"Developer, Infra and Data platforms","Code hosting, version control, and collaboration platform.",OAuth2; Personal access token; GitHub App tokens,self-serve (free account),REST; GraphQL,True,True,False,official (GitHub MCP server),buildable today,none,96,https://docs.github.com/rest,Reference-quality developer platform; already a first-class agent-tool target across the industry.,buildable_today,none,OAuth2
Vercel,"Developer, Infra and Data platforms",Frontend cloud / deployment platform for web apps.,OAuth2; API token,self-serve (free hobby tier),REST,True,False,False,official (Vercel MCP),buildable today,none,90,https://vercel.com/docs/rest-api,"Clean, self-serve REST API with a generous free tier.",buildable_today,none,OAuth2
Netlify,"Developer, Infra and Data platforms","Web hosting and deployment platform, similar niche to Vercel.",OAuth2; Personal access token,self-serve (free tier),REST,True,False,False,official (Netlify MCP server),buildable today,none,89,https://docs.netlify.com/api/get-started/,"Same profile as Vercel: self-serve, free tier, official OpenAPI spec.",buildable_today,none,OAuth2
Cloudflare,"Developer, Infra and Data platforms","CDN, DNS, security, and edge-compute platform.",API token; OAuth2 (limited),self-serve (free tier),REST,True,False,False,official (Cloudflare MCP server),buildable today,none,90,https://developers.cloudflare.com/api/,"Huge, well-organized REST API surface covering DNS, Workers, security products, and more.",buildable_today,none,OAuth2
Supabase,"Developer, Infra and Data platforms","Open-source Firebase alternative (Postgres, auth, storage, edge functions).",API key; OAuth2 (Management API),self-serve (free tier),REST; GraphQL (via PostgREST/pg_graphql),True,True,False,official (Supabase MCP server),buildable today,none,91,https://supabase.com/docs/guides/api,Auto-generates a full REST + GraphQL API from the Postgres schema; official MCP server is already widely used.,buildable_today,none,OAuth2
Neo4j,"Developer, Infra and Data platforms","Graph database platform, available self-hosted or as Neo4j Aura (managed cloud).",Basic (Bolt driver); API key (Aura),self-serve (Aura free tier),REST (Aura mgmt API); Bolt protocol (drivers),False,True,False,official (Neo4j MCP server),buildable today,none,84,https://neo4j.com/docs/aura/,"Query access is mainly via the Bolt driver protocol rather than a REST verb-per-resource API, which is a slightly different integration shape than most of this set.",buildable_today,none,API key / Token
Snowflake,"Developer, Infra and Data platforms",Cloud data warehouse platform.,OAuth2; Key-pair auth; Basic,self-serve (free trial),REST (SQL API),False,False,False,official (Snowflake MCP server / Cortex Agents),buildable today,none,87,https://docs.snowflake.com/en/developer-guide/sql-api/index,SQL REST API plus native driver options; free trial credits make self-serve testing easy.,buildable_today,none,OAuth2
MongoDB Atlas,"Developer, Infra and Data platforms",Managed cloud MongoDB database platform.,API key (Digest auth); OAuth2 (Service Accounts),self-serve (free M0 tier),REST; Data API,True,False,False,official (MongoDB MCP server),buildable today,none,88,https://www.mongodb.com/docs/atlas/api/atlas-admin-api/,"Both an Admin API (cluster management) and a Data API (document CRUD); free tier is genuinely free forever, not just trial.",buildable_today,none,OAuth2
Datadog,"Developer, Infra and Data platforms","Observability platform (metrics, logs, traces, monitoring).",API key + Application key,self-serve (free trial),REST,True,False,False,official (Datadog MCP server),buildable today,none,89,https://docs.datadoghq.com/api/latest/,"Extremely broad, well-versioned REST API; dual API-key + App-key model is simple and fully self-serve.",buildable_today,none,API key / Token
Sentry,"Developer, Infra and Data platforms",Error tracking and application-performance monitoring platform.,OAuth2; Bearer auth token,self-serve (free developer tier),REST,True,False,False,official (Sentry MCP server),buildable today,none,87,https://docs.sentry.io/api/,"Clean REST API, self-serve free tier, and a well-known official MCP server used widely for AI-assisted debugging.",buildable_today,none,OAuth2
Notion,Productivity and Project Management,"All-in-one workspace for notes, docs, wikis, and lightweight databases.",OAuth2; Internal integration token,self-serve (free tier),REST,True,False,False,official (Notion MCP server),buildable today,none,93,https://developers.notion.com/docs,One of the most agent-toolkit-friendly APIs available; internal integration tokens are instant and self-serve.,buildable_today,none,OAuth2
Airtable,Productivity and Project Management,Spreadsheet-database hybrid with a strong API and automation layer.,OAuth2; Personal access token,self-serve (free tier),REST,True,False,False,official (Airtable MCP server),buildable today,none,92,https://airtable.com/developers/web/api/introduction,Auto-generates per-base REST endpoints; personal access tokens are self-serve and scoped.,buildable_today,none,OAuth2
Linear,Productivity and Project Management,Issue tracking and project management tool built for software teams.,OAuth2; Personal API key,self-serve (free tier),GraphQL,True,True,False,official (Linear MCP server),buildable today,none,91,https://developers.linear.app/docs,"GraphQL-only, extremely clean schema; official MCP server is widely used already.",buildable_today,none,OAuth2
Jira,Productivity and Project Management,Issue tracking and agile project management from Atlassian.,OAuth2; API token + Basic,self-serve (free tier),REST,True,False,False,"official (Atlassian MCP server, covers Jira + Confluence)",buildable today,none,90,https://developer.atlassian.com/cloud/jira/platform/rest/v3/,"Mature, well-documented REST API; Atlassian ships an official MCP server.",buildable_today,none,OAuth2
Asana,Productivity and Project Management,Work and project management tool for teams.,OAuth2; Personal access token,self-serve (free tier),REST,True,False,False,official (Asana MCP server),buildable today,none,90,https://developers.asana.com/docs,"Clean REST API, personal access tokens are self-serve.",buildable_today,none,OAuth2
Monday.com,Productivity and Project Management,Work OS / project management platform with a highly customizable board model.,OAuth2; API token,self-serve (free tier),GraphQL,True,True,False,official (monday.com MCP server),buildable today,none,88,https://developer.monday.com/api-reference/docs,"GraphQL API, self-serve token generation from user profile.",buildable_today,none,OAuth2
ClickUp,Productivity and Project Management,All-in-one productivity/project-management platform.,OAuth2; Personal API token,self-serve (free tier),REST,True,False,False,official (ClickUp MCP server),buildable today,none,87,https://developer.clickup.com/docs,Personal API tokens generated instantly in account settings; broad REST endpoint coverage.,buildable_today,none,OAuth2
